--- Execution profile ---
Total samples:         162969
Non-Java:              3461 (2.12%)
Unknown (native):      5550 (3.41%)
Not walkable (native): 26 (0.02%)
Unknown (Java):        20146 (12.36%)
Not walkable (Java):   475 (0.29%)
Deopt:                 6 (0.00%)

Frame buffer usage:    28.2024%

      events  percent  samples  top
      164788    0.10%      162  _raw_spin_lock_[k]
      164653    0.10%      165  Handle::Handle(Thread*, oopDesc*)
      163675    0.10%      164  io.netty.buffer.PoolThreadCache.allocate
      163278    0.10%      163  Monitor::lock_without_safepoint_check()
      163036    0.10%      163  ObjArrayKlass::allocate(int, Thread*)
      162309    0.10%      163  reactor.core.publisher.FluxFlatMap$FlatMapMain.tryEmit
      160587    0.10%      158  HSpaceCounters::update_used(unsigned long)
      159421    0.10%      160  io.netty.buffer.WrappedByteBuf.readableBytes
      159223    0.10%      157  rw_copy_check_uvector_[k]
      156975    0.10%      156  OtherRegionsTable::occupied() const
      155922    0.10%      153  G1Analytics::predict_card_num(unsigned long, bool) const
      149850    0.09%      149  AccessInternal::PostRuntimeDispatch<G1BarrierSet::AccessBarrier<574518ul, G1BarrierSet>, (AccessInternal::BarrierType)1, 574518ul>::oop_access_barrier(oopDesc*, long, oopDesc*)
      149422    0.09%      150  io.netty.channel.epoll.EpollEventLoop.run
      146672    0.09%      147  reactor.core.publisher.FluxFlatMap$FlatMapInner.currentContext
      143661    0.09%      144  reactor.core.publisher.Operators.replace
      143045    0.09%      142  G1CollectedHeap::allocate_new_tlab(unsigned long, unsigned long, unsigned long*)
      143033    0.09%      142  MemAllocator::allocate_inside_tlab_slow(MemAllocator::Allocation&) const
      142814    0.09%      143  java.util.Objects.requireNonNull
      142384    0.09%      142  java.lang.Object.hashCode
      142035    0.09%      142  io.netty.util.ResourceLeakDetector.track0
      141441    0.09%      139  __alloc_skb_[k]
      137307    0.08%      135  __kmalloc_node_track_caller_[k]
      137094    0.08%      135  ip6_xmit_[k]
      134665    0.08%      135  reactor.core.publisher.Mono.doOnError
      134218    0.08%      134  SharedRuntime::on_slowpath_allocation_exit(JavaThread*)
      133056    0.08%      133  java.lang.Throwable.fillInStackTrace
      129309    0.08%      127  G1Policy::predict_yg_surv_rate(int, SurvRateGroup*) const
      129085    0.08%      129  _dl_update_slotinfo
      127770    0.08%      125  update_curr_[k]
      126251    0.08%      125  Klass::class_loader() const
      125576    0.08%      126  io.rsocket.transport.netty.ChannelReadHandler.doOnNext
      124602    0.08%      125  reactor.core.publisher.MonoIgnoreThen$ThenIgnoreMain.ignoreDone
      123755    0.08%      124  jbyte_disjoint_arraycopy
      123750    0.08%      123  LeakProfiler::is_running()
      122877    0.08%      123  __tls_get_addr
      122863    0.08%      123  reactor.core.publisher.FlatMapTracker.add
      122541    0.08%      122  Monitor::unlock()
      121978    0.07%      118  cpuacct_account_field_[k]
      121842    0.07%      120  __kmalloc_[k]
      120749    0.07%      121  io.netty.buffer.AbstractByteBuf.readableBytes
      119469    0.07%      120  io.netty.util.collection.IntObjectHashMap.indexOf
      119000    0.07%      116  update_fast_timekeeper_[k]
      118635    0.07%      119  java.lang.ThreadLocal.get
      117423    0.07%      117  ThreadHeapSampler::enabled()
      115833    0.07%      116  io.netty.util.concurrent.DefaultPromise.trySuccess
      115493    0.07%      115  java.util.concurrent.ConcurrentHashMap.addCount
      114607    0.07%      115  reactor.core.publisher.MonoIgnoreThen$ThenIgnoreInner.onComplete
      112802    0.07%      113  G1ParCopyClosure<(G1Barrier)0, (G1Mark)0>::do_oop(oopDesc**)
      111525    0.07%      112  java.util.concurrent.atomic.AtomicLongFieldUpdater$CASUpdater.getAndAdd
      110213    0.07%      110  ObjectSynchronizer::FastHashCode(Thread*, oopDesc*)
      106688    0.07%      107  frame::sender(RegisterMap*) const
      106687    0.07%      107  reactor.core.publisher.MonoProcessor.create
      106129    0.07%      103  rcu_check_callbacks_[k]
      104191    0.06%      104  TypeArrayKlass::allocate_common(int, bool, Thread*)
      103373    0.06%      103  java.lang.Throwable.fillInStackTrace
      102261    0.06%      102  CollectedHeap::array_allocate(Klass*, int, int, bool, Thread*)
      101390    0.06%      102  reactor.core.publisher.FlatMapTracker.remove
      100717    0.06%       99  __fget_[k]
      100600    0.06%      100  io.netty.util.ResourceLeakDetector$DefaultResourceLeak.<init>
      100419    0.06%       99  DirtyCardQueueSet::num_par_ids()
       99679    0.06%       99  jdk.internal.misc.Unsafe.checkPointer
       99255    0.06%       98  copyin_[k]
       97766    0.06%       98  io.rsocket.transport.netty.SendPublisher$InnerSubscriber.drain
       97460    0.06%       97  java.util.concurrent.ConcurrentHashMap.putVal
       96599    0.06%       95  update_cfs_group_[k]
       94769    0.06%       95  io.netty.util.internal.PlatformDependent.getInt
       93564    0.06%       92  skb_entail_[k]
       93540    0.06%       94  reactor.core.publisher.FluxFlatMap$FlatMapMain.drainLoop
       91933    0.06%       92  io.netty.buffer.PoolThreadCache.allocateTiny
       91693    0.06%       92  CodeCache::find_blob(void*)
       90974    0.06%       91  java.util.concurrent.ConcurrentHashMap.replaceNode
       90802    0.06%       91  io.netty.buffer.AbstractPooledDerivedByteBuf.deallocate
       90249    0.06%       89  G1CollectedHeap::new_region(unsigned long, bool, bool)
       89008    0.05%       88  G1Policy::predict_region_elapsed_time_ms(HeapRegion*, bool) const
       87280    0.05%       86  cmpxchg_double_slab.isra.61_[k]
       86996    0.05%       86  HeapRegion::report_region_type_change(G1HeapRegionTraceType::Type)
       86751    0.05%       87  io.netty.buffer.WrappedByteBuf.setByte
       86214    0.05%       85  timerqueue_add_[k]
       86026    0.05%       85  process_backlog_[k]
       85097    0.05%       84  ip6_finish_output2_[k]
       84942    0.05%       85  io.netty.buffer.AbstractReferenceCountedByteBuf.touch
       84487    0.05%       83  tcp_transmit_skb_[k]
       84299    0.05%       83  select_task_rq_fair_[k]
       84038    0.05%       84  io.rsocket.internal.UnboundedProcessor.drainFused
       83929    0.05%       84  java.lang.invoke.DirectMethodHandle$Holder.invokeStatic
       81983    0.05%       82  ThreadStateTransition::transition_from_native(JavaThread*, JavaThreadState) [clone .constprop.209]
       81934    0.05%       82  io.netty.handler.codec.ByteToMessageDecoder.channelRead
       81313    0.05%       80  skb_copy_datagram_iter_[k]
       81157    0.05%       81  MemAllocator::Allocation::notify_allocation_jvmti_sampler()
       80818    0.05%       81  /tmp/libnetty_transport_native_epoll_x86_6411951674693870431800.so (deleted)
       80779    0.05%       81  io.netty.util.Recycler$Stack.push
       80113    0.05%       79  __free_pages_ok_[k]
       77639    0.05%       76  mod_timer_[k]
       76197    0.05%       76  AllocTracer::send_allocation_in_new_tlab(Klass*, HeapWord*, unsigned long, unsigned long, Thread*)
       73861    0.05%       74  reactor.core.publisher.FluxPeek$PeekSubscriber.request
       72906    0.04%       73  ClassLoaderDataGraph::roots_cld_do(CLDClosure*, CLDClosure*)
       71707    0.04%       71  G1CollectedHeap::attempt_allocation_slow(unsigned long)
       71193    0.04%       70  tcp_clean_rtx_queue_[k]
       71129    0.04%       71  objArrayOopDesc::obj_at_put(int, oopDesc*)
       71082    0.04%       70  __inet6_lookup_established_[k]
       70750    0.04%       71  io.netty.buffer.PoolThreadCache.log2
       70339    0.04%       70  InstanceKlass::klass_holder() const
       70309    0.04%       69  syscall_return_via_sysret_[k]
       70098    0.04%       70  __GI___writev
       69748    0.04%       70  io.netty.channel.ChannelOutboundBuffer$Entry.<init>
       68483    0.04%       68  ObjAllocator::initialize(HeapWord*) const
       68414    0.04%       67  intel_pstate_update_util_[k]
       68318    0.04%       67  _raw_spin_unlock_irqrestore_[k]
       67906    0.04%       66  trigger_load_balance_[k]
       67577    0.04%       68  reactor.core.publisher.MonoIgnoreThen$ThenAcceptInner.onComplete
       67431    0.04%       66  ___slab_alloc_[k]
       67164    0.04%       67  JVM_FillInStackTrace
       67138    0.04%       67  io.netty.buffer.AbstractByteBuf.readerIndex
       67126    0.04%       67  RSHashTableIter::has_next(unsigned long&)
       66785    0.04%       67  io.netty.util.collection.IntObjectHashMap.removeAt
       66023    0.04%       64  timekeeping_update_[k]
       64972    0.04%       64  tcp_stream_memory_free_[k]
       64882    0.04%       63  notifier_call_chain_[k]
       64022    0.04%       64  io.netty.channel.ChannelOutboundBuffer.removeBytes
       63905    0.04%       63  skb_release_data_[k]
       62871    0.04%       62  ip6_dst_check_[k]
       62818    0.04%       63  JVM_IHashCode
       62778    0.04%       63  io.rsocket.Frame$Request.from
       62126    0.04%       61  __check_object_size_[k]
       62118    0.04%       62  update_get_addr
       62011    0.04%       62  Java_java_lang_Throwable_fillInStackTrace
       61986    0.04%       60  update_vsyscall_[k]
       61932    0.04%       61  OtherRegionsTable::clear_fcc()
       61342    0.04%       60  cpuacct_charge_[k]
       61210    0.04%       60  common_file_perm_[k]
       60960    0.04%       60  tcp_sendmsg_locked_[k]
       60892    0.04%       61  G1RemSetScanState::G1ClearCardTableTask::work(unsigned int)
       60426    0.04%       60  G1RemSet::num_par_rem_sets()
       59898    0.04%       60  clock_gettime
       59237    0.04%       59  MutatorAllocRegion::retire(bool)
       58868    0.04%       58  G1SurvivorRegions::length() const
       58852    0.04%       59  io.netty.buffer.PoolThreadCache$MemoryRegionCache.newEntry
       58794    0.04%       59  io.rsocket.frame.RequestFrameFlyweight.computeFrameLength
       57978    0.04%       58  io.netty.buffer.UnsafeByteBufUtil.setBytes
       57564    0.04%       57  G1CollectedHeap::unsafe_max_tlab_alloc(Thread*) const
       56875    0.03%       57  reactor.core.publisher.Mono.onLastAssembly
       56729    0.03%       57  io.netty.buffer.PooledUnsafeDirectByteBuf.initMemoryAddress
       56225    0.03%       57  jshort_disjoint_arraycopy
       56101    0.03%       56  unsafe_arraycopy
       56030    0.03%       56  io.netty.channel.ChannelOutboundBuffer.forEachFlushedMessage
       56018    0.03%       56  ThreadInVMfromNative::~ThreadInVMfromNative()
       55239    0.03%       55  io.netty.buffer.PoolChunk.initBuf
       54793    0.03%       55  __libc_read
       54276    0.03%       54  io.netty.buffer.PooledSlicedByteBuf$1.newObject
       54210    0.03%       54  JfrAllocationTracer::JfrAllocationTracer(HeapWord*, unsigned long, Thread*)
       54106    0.03%       54  CardTableBarrierSet::on_slowpath_allocation_exit(JavaThread*, oopDesc*)
       54031    0.03%       54  G1CardTable::is_in_young(oopDesc*) const
       53552    0.03%       53  MasterFreeRegionListMtSafeChecker::check()
       53196    0.03%       53  io.netty.buffer.AbstractByteBuf.ensureAccessible
       53088    0.03%       53  io.netty.util.ResourceLeakDetector$Record.<init>
       52978    0.03%       52  decay_load_[k]
       52780    0.03%       52  import_iovec_[k]
       51872    0.03%       51  G1CollectedHeap::retire_mutator_alloc_region(HeapRegion*, unsigned long)
       51818    0.03%       51  tcp_rcv_established_[k]
       51806    0.03%       52  G1BlockOffsetTablePart::forward_to_block_containing_addr_slow(HeapWord*, HeapWord*, void const*)
       51758    0.03%       51  tcp_recvmsg_[k]
       51707    0.03%       51  native_sched_clock_[k]
       51545    0.03%       51  AbsSeq::dsd() const
       50530    0.03%       50  ch.qos.logback.classic.Logger.isErrorEnabled
       50259    0.03%       50  jdk.internal.misc.Unsafe.checkNativeAddress
       49912    0.03%       50  io.netty.buffer.SimpleLeakAwareByteBuf.<init>
       49538    0.03%       49  G1ConcurrentRefine::max_num_threads()
       49034    0.03%       49  io.netty.util.concurrent.SingleThreadEventExecutor.pollTaskFrom
       48880    0.03%       49  io.netty.buffer.WrappedByteBuf.setShort
       48870    0.03%       48  sock_def_readable_[k]
       48852    0.03%       49  os::javaTimeNanos()
       48638    0.03%       48  tcp_v6_rcv_[k]
       47864    0.03%       48  io.netty.channel.AbstractChannel$AbstractUnsafe.flush0
       46919    0.03%       46  ip6_mtu_[k]
       46852    0.03%       47  reactor.core.publisher.MonoDefer.subscribe
       46768    0.03%       46  gen8_irq_handler	[i915]_[k]
       46701    0.03%       46  update_cfs_rq_h_load_[k]
       46520    0.03%       46  ktime_get_[k]
       46403    0.03%       46  __virt_addr_valid_[k]
       46350    0.03%       46  Monitor::lock()
       45797    0.03%       46  java.io.BufferedWriter.write
       45699    0.03%       46  HeapRegion::clear_cardtable()
       45036    0.03%       45  io.netty.buffer.SimpleLeakAwareByteBuf.touch
       44996    0.03%       45  org.HdrHistogram.AbstractHistogramIterator.next
       44963    0.03%       45  io.rsocket.framing.FrameType.hasInitialRequestN
       44944    0.03%       45  BiasedLocking::revoke_and_rebias(Handle, bool, Thread*)
       44911    0.03%       45  frame::is_interpreted_frame() const
       44902    0.03%       44  detach_if_pending_[k]
       44894    0.03%       44  read_tsc_[k]
       43830    0.03%       44  io.netty.util.collection.IntObjectHashMap.hashIndex
       43660    0.03%       43  __wake_up_common_[k]
       42837    0.03%       43  io.netty.channel.AbstractChannelHandlerContext.write
       42726    0.03%       43  java.io.PrintStream.write
       42621    0.03%       42  __update_load_avg_se.isra.38_[k]
       42279    0.03%       42  io.netty.channel.epoll.EpollEventLoop.processReady
       42188    0.03%       41  __cgroup_account_cputime_field_[k]
       42046    0.03%       42  io.netty.buffer.PooledUnsafeDirectByteBuf.memoryAddress
       42020    0.03%       42  java.util.concurrent.ConcurrentHashMap.remove
       41980    0.03%       41  rb_next_[k]
       41912    0.03%       42  frame::frame(long*, long*, long*, unsigned char*)
       41553    0.03%       41  sock_rfree_[k]
       41531    0.03%       41  rb_erase_[k]
       41211    0.03%       40  cpu_needs_another_gp_[k]
       41082    0.03%       41  io.netty.buffer.WrappedByteBuf.setInt
       41052    0.03%       41  Universe::should_fill_in_stack_trace(Handle)
       40953    0.03%       41  io.rsocket.frame.FrameHeaderFlyweight.computeFrameHeaderLength
       40929    0.03%       41  G1FreeCollectionSetTask::G1SerialFreeCollectionSetClosure::do_heap_region(HeapRegion*)
       40925    0.03%       41  io.rsocket.frame.FrameHeaderFlyweight.encodeFrameHeader
       40896    0.03%       41  io.netty.buffer.PoolChunkList.free
       40717    0.02%       40  enqueue_to_backlog_[k]
       40398    0.02%       40  G1CollectedHeap::max_tlab_size() const
       40029    0.02%       40  io.netty.util.concurrent.AbstractEventExecutor.safeExecute
       40012    0.02%       40  PcDescContainer::find_pc_desc_internal(unsigned char*, bool, PcDescSearch const&)
       40008    0.02%       40  StringTable::possibly_parallel_oops_do(OopStorage::ParState<false, false>*, OopClosure*)
       39948    0.02%       40  __pthread_cond_timedwait
       39924    0.02%       40  io.netty.buffer.PooledUnsafeDirectByteBuf.hasMemoryAddress
       39877    0.02%       40  G1ParScanThreadState::trim_queue_partially()
       39874    0.02%       40  io.netty.channel.AbstractChannelHandlerContext.invokeChannelRead
       39690    0.02%       39  sk_stream_alloc_skb_[k]
       39633    0.02%       39  tcp_v6_md5_lookup_[k]
       39557    0.02%       39  tcp_write_xmit_[k]
       39173    0.02%       38  input_mt_assign_slots_[k]
       38849    0.02%       39  io.netty.buffer.AbstractByteBuf.setInt
       38808    0.02%       39  io.netty.buffer.AbstractReferenceCountedByteBuf.release
       38753    0.02%       38  ep_poll_callback_[k]
       38723    0.02%       39  io.netty.buffer.AbstractReferenceCountedByteBuf.internalRefCnt
       38598    0.02%       38  try_to_wake_up_[k]
       37681    0.02%       37  idle_cpu_[k]
       37193    0.02%       37  java.lang.ThreadLocal$ThreadLocalMap.getEntry
       36904    0.02%       37  io.netty.buffer.PoolChunk.free
       36887    0.02%       37  io.netty.buffer.AbstractByteBuf.setShort
       36869    0.02%       37  io.netty.util.collection.IntObjectHashMap.probeNext
       36766    0.02%       36  __hrtimer_run_queues_[k]
       36690    0.02%       36  __dev_queue_xmit_[k]
       36459    0.02%       36  ksize_[k]
       36210    0.02%       36  io.netty.util.ResourceLeakDetector$Record.access$100
       36007    0.02%       36  _init
       35810    0.02%       36  G1ParScanThreadState::copy_to_survivor_space(InCSetState, oopDesc*, markOopDesc*)
       35753    0.02%       35  update_blocked_averages_[k]
       35656    0.02%       35  net_rx_action_[k]
       35640    0.02%       35  tcp_ack_update_rtt.isra.33_[k]
       35523    0.02%       35  select_idle_sibling_[k]
       34917    0.02%       35  io.netty.handler.codec.ByteToMessageDecoder.callDecode
       34867    0.02%       35  io.netty.buffer.WrappedByteBuf.hasMemoryAddress
       34826    0.02%       34  get_nohz_timer_target_[k]
       34617    0.02%       34  G1MonitoringSupport::update_eden_size()
       34565    0.02%       34  loopback_xmit_[k]
       34511    0.02%       34  tcp_ack_[k]
       34395    0.02%       34  ipv6_rcv_[k]
       34338    0.02%       34  vfprintf
       33465    0.02%       33  Thread::muxAcquire(long volatile*, char const*)
       33374    0.02%       33  _copy_from_user_[k]
       32933    0.02%       33  reactor.core.publisher.FluxGroupBy$GroupByMain.onNext
       32472    0.02%       32  __skb_clone_[k]
       32427    0.02%       32  tcp_current_mss_[k]
       32379    0.02%       32  G1Analytics::predict_young_other_time_ms(unsigned long) const
       32248    0.02%       32  _new_instance_Java
       32149    0.02%       32  io.netty.buffer.WrappedByteBuf.readerIndex
       32082    0.02%       32  java_lang_Throwable::fill_in_stack_trace(Handle, methodHandle const&)
       31924    0.02%       32  HandleMark::pop_and_restore()
       31799    0.02%       31  synaptics_process_byte	[psmouse]_[k]
       31501    0.02%       31  __indirect_thunk_start_[k]
       31477    0.02%       31  sk_forced_mem_schedule_[k]
       31457    0.02%       31  security_sock_rcv_skb_[k]
       31435    0.02%       31  __cgroup_bpf_run_filter_skb_[k]
       31004    0.02%       31  ThreadShadow::clear_pending_exception()
       30990    0.02%       30  io.netty.buffer.PoolThreadCache.trim
       30900    0.02%       31  jbyte_arraycopy
       30894    0.02%       31  reactor.core.publisher.BlockingLastSubscriber.onNext
       30603    0.02%       30  __fget_light_[k]
       30569    0.02%       30  io.netty.util.internal.shaded.org.jctools.queues.MpscArrayQueue.poll
       30156    0.02%       30  io.netty.channel.unix.FileDescriptor.readAddress
       30136    0.02%       30  org.HdrHistogram.RecordedValuesIterator.reachedIterationLevel
       29796    0.02%       30  G1RemSetScanState::G1ResetScanTopClosure::do_heap_region(HeapRegion*)
       29570    0.02%       29  _copy_to_iter_[k]
       29512    0.02%       29  ep_send_events_proc_[k]
       29341    0.02%       29  ip_sabotage_in	[br_netfilter]_[k]
       29133    0.02%       29  CollectedHeap::fill_with_dummy_object(HeapWord*, HeapWord*, bool)
       29087    0.02%       29  io.netty.channel.ChannelOutboundBuffer.clearNioBuffers
       28873    0.02%       29  reactor.core.publisher.FluxPeek$PeekSubscriber.onComplete
       28842    0.02%       29  reactor.core.publisher.FluxFlatMap$FlatMapInner.onNext
       28682    0.02%       28  irq_chip_ack_parent_[k]
       28668    0.02%       28  task_tick_fair_[k]
       28465    0.02%       28  tcp_event_data_recv_[k]
       28444    0.02%       28  tcp_chrono_start_[k]
       28441    0.02%       28  do_softirq.part.17_[k]
       28135    0.02%       28  io.netty.buffer.AbstractByteBufAllocator.directBuffer
       27980    0.02%       27  raw_notifier_call_chain_[k]
       27964    0.02%       28  __libc_enable_asynccancel
       27944    0.02%       28  void OopOopIterateDispatch<G1ScanObjsDuringUpdateRSClosure>::Table::oop_oop_iterate<InstanceKlass, unsigned int>(G1ScanObjsDuringUpdateRSClosure*, oopDesc*, Klass*)
       27934    0.02%       28  CollectedHeap::obj_allocate(Klass*, int, Thread*)
       27537    0.02%       27  switch_to_thread_stack_[k]
       27523    0.02%       27  __netif_receive_skb_core_[k]
